ranije	rano
1	1
odličan	odličan
3	3
iskupljuje	iskupljivati
1	1
svjež	svjež
3	3
izvrstan	izvrstan
3	3
bravo	brav
3	3
super	super
3	3
obilan	obilan
3	3
najbolji	dobar
3	3
fantastičan	fantastičan
3	3
hrskav	hrskav
2	2
fin	fin
3	3
oduševljen	oduševljen
3	3
dobar	dobar
2	2
predobar	predobar
3	3
ponovo	ponov
1	1
brz	brz
2	2
dovoljan	dovoljan
1	1
točan	točan
2	2
ugodan	ugodan
2	2
mekan	mekan
2	2
simpa	simp
3	3
plus	plus
3	3
rani	ran
1	1
raniti	ranit
1	1
zadovoljan	zadovoljan
3	3
mrak	mrak
3	3
pohvala	pohvao
3	3
ukusan	ukusan
3	3
velik	velik
1	1
kvaliteta	kvaliteti
2	2
vrhunski	vrhunska
3	3
ogroman	ogroman
3	3
pun	pun
1	1
preporučati	preporučat
3	3
zakon	zakon
3	3
pohvaliti	pohvalit
2	2
dobriti	dobrit
1	1
topao	topasti
2	2
čast	čast
2	2
cijeniti	cijenit
1	1
preporučivati	preporučivat
2	2
ljubazan	ljubazan
3	3
preporuka	preporuka
3	3
brava	bravo
3	3
povoljan	povoljan
3	3
odlične	odličan
3	3
vruć	vruć
2	2
vrući	vrulik
2	2
brzina	brzini
2	2
prefina	prefini
3	3
savršena	savršen
3	3
bogat	bogat
2	2
pravi	prav
1	1
čist	čist
2	2
simpatičan	simpatičan
3	3
prihvatljiv	prihvatljiv
1	1
sviđati	sviđat
3	3
fenomenalan	fenomenalan
3	3
lijep	lijep
3	3
odlično	odličan
3	3
besplatan	besplatan
3	3
izniman	izniman
3	3
kvalitetan	kvalitetan
2	2
voljeti	voljeta
2	2
gratis	gratis
3	3
cast	cast
3	3
pristojan	pristojan
2	2
šestica	šestica
3	3
solidan	solidan
2	2
good	good
2	2
taman	taman
2	2
isplatiti	isplatit
3	3
hvala	hvao
1	1
njam	nji
3	3
vruća	vrulik
2	2
oduševiti	oduševit
3	3
apsolutan	apsolutan
1	1
polizati	polizat
2	2
mljac	mljac
3	3
ponovan	ponovan
1	1
sočan	sočan
3	3
bogatiti	bogatit
1	1
petica	petica
3	3
liga	lion
2	2
prefine	prefini
3	3
svidjeti	svidjeta
2	2
sviditi	svidit
2	2
svidilo	svidil
2	2
izdašan	izdašan
3	3
izvanredan	izvanredan
3	3
na_vrijeme	na_vrijeja
2	2
prije_vremena	prije_vrijeme
3	3
prije_očekivanog	prije_očekivan
2	2
prije_navedenog_vremena	prije_navedenog_vrijeme
2	2
brza	brz
3	3
bolja	dobar
3	3
pet	pet
3	3
ok	ok
1	1
5	5
3	3
6	6
3	3
