loš	loš
3	3
čekati	čekat
2	2
plivati	plivati
2	2
komadić	komadić
2	2
kasniti	kasnit
3	3
kriv	kriv
2	2
sirov	sirov
3	3
neukusan	neukusan
3	3
hladan	hladan
3	3
ništa	ništa
1	1
suh	su
2	2
čekanje	čekanje
2	2
bezobrazan	bezobrazan
3	3
lažan	lažan
2	2
neprofesionalan	neprofesionalan
3	3
nula	nuao
3	3
neljubazan	neljubazan
3	3
neznati	neznat
2	2
zagoren	zagoren
3	3
izgubiti	izgubiti
3	3
nažalost	nažalost
3	3
visiti	visit
3	3
visjeti	visjeta
3	3
žilav	žilav
3	3
kiseo	kisei
2	2
ulje	ug
2	2
baciti	bacit
3	3
isprika	isprik
1	1
čudan	čudo
2	2
razliti	razlit
1	1
slab	slab
3	3
pokvaren	pokvaren
3	3
jestiv	jestiv
1	1
mokar	mokar
2	2
užasan	užasan
3	3
mina	mina
3	3
gladan	gladan
2	2
nedovoljan	nedovoljan
3	3
zagorene	zagoren
3	3
previše	mnogo
1	1
razočarati	razočarat
3	3
neslan	neslan
2	2
nejestiv	nejestiv
3	3
razočaran	razočaran
3	3
čekam	čeki
2	2
nikakav	nikakav
3	3
strasan	strasan
3	3
užasno	užasno
3	3
grozan	grozan
3	3
razočaranje	razočaranje
3	3
najgore	zlo
3	3
bezukusan	bezukusan
3	3
kasan	kasan
3	3
razvodnjen	razvodnjen
3	3
katastrofa	katastrofa
3	3
očajan	očajan
3	3
jadan	jadan
3	3
najgori	najgoar
3	3
odvratan	odvratan
3	3
užas	užas
3	3
koma	ko
3	3
bačen	bačen
3	3
prosječan	prosječan
1	1
osrednji	osredl
1	1
neugodan	neugodan
3	3
nejestiva	nejestiv
3	3
žalost	žalosti
3	3
mlak	mlak
2	2
boli	boli
1	1
boliti	bolit
1	1
boljeti	boljeta
1	1
dlaka	dlak
3	3
tvrd	tvrd
3	3
premao	premai
3	3
bljutav	bljutav
3	3
prepečena	prepečen
3	3
smeće	smelik
3	3
bezukusno	bezukusan
3	3
preslano	preslan
3	3
bezukusna	bezukusan
3	3
sramota	sramota
3	3
preloše	preloš
3	3
kriviti	krivit
3	3
srednji	sredl
1	1
bezveze	bezvezok
2	2
dočekati	dočekat
3	3
maknuti	maknuta
1	1
star	star
3	3
dno	dan
3	3
zamjerka	zamjerak
2	2
prigovor	prigovor
2	2
primjedba	primjedba
2	2
rijedak	rijedak
1	1
kajati	kajat
2	2
faliti	falit
2	2
greška	grežak
3	3
kasnije	kasno
3	3
poslije	poslije
2	2
problem	problem
3	3
propust	propusti
3	3
duže_od_predviđenog	duže_od_predviđen
2	2
pogriješiti	pogriješit
3	3
pogreška	pogrežak
3	3
masna	masan
3	3
ne_dolaziti	ne_dolazit
2	2
ne_doći	ne_doć
2	2
nisu_doći	nisu_doć
2	2
nisu_dolaziti	nisu_dolazit
2	2
nije_doći	nije_doć
2	2
nije_dolaziti	nije_dolazit
2	2
nisu_imati	nisu_imat
2	2
nije_imati	nije_imat
2	2
ne_imati	ne_imat
2	2
ne_nazvati	ne_nazvat
2	2
ne_pojaviti	ne_pojavit
2	2
nije_nazvati	nije_nazvat
2	2
nije_pojaviti	nije_pojavit
2	2
nisu_nazvati	nisu_nazvat
2	2
nisu_pojaviti	nisu_pojavit
2	2
smetati	smetat
2	2
ne_valjati	ne_valjat
3	3
nije_valjati	nije_valjat
3	3
nisu_valjati	nisu_valjat
3	3
